country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
Argentina,2014,female,25-34 years,118,3227239,3.66,Argentina2014,0.836,526319673732,13400,Millenials
Argentina,2014,female,55-74 years,109,3454994,3.15,Argentina2014,0.836,526319673732,13400,Boomers
Argentina,2014,female,75+ years,25,1323654,1.89,Argentina2014,0.836,526319673732,13400,Silent
Argentina,2014,female,5-14 years,35,3533961,0.99,Argentina2014,0.836,526319673732,13400,Generation Z
Argentina,2014,male,5-14 years,34,3655965,0.93,Argentina2014,0.836,526319673732,13400,Generation Z
Argentina,2015,male,75+ years,245,712691,34.38,Argentina2015,,594749285413,14981,Silent
Argentina,2015,male,15-24 years,656,3500580,18.74,Argentina2015,,594749285413,14981,Millenials
Argentina,2015,male,55-74 years,431,3011963,14.31,Argentina2015,,594749285413,14981,Boomers
Argentina,2015,male,25-34 years,465,3289927,14.13,Argentina2015,,594749285413,14981,Millenials
Argentina,2015,male,35-54 years,633,5166179,12.25,Argentina2015,,594749285413,14981,Generation X
Argentina,2015,female,15-24 years,153,3394201,4.51,Argentina2015,,594749285413,14981,Millenials
Argentina,2015,female,55-74 years,125,3520779,3.55,Argentina2015,,594749285413,14981,Boomers
Argentina,2015,female,25-34 years,114,3235582,3.52,Argentina2015,,594749285413,14981,Millenials
Argentina,2015,female,35-54 years,166,5301368,3.13,Argentina2015,,594749285413,14981,Generation X
Argentina,2015,female,75+ years,27,1344980,2.01,Argentina2015,,594749285413,14981,Silent
Argentina,2015,male,5-14 years,39,3672155,1.06,Argentina2015,,594749285413,14981,Generation Z
Argentina,2015,female,5-14 years,19,3549219,0.54,Argentina2015,,594749285413,14981,Generation Z
Armenia,2011,female,75+ years,6,86643,6.92,Armenia2011,0.723,10142111334,3798,Silent
Armenia,2011,male,35-54 years,23,341199,6.74,Armenia2011,0.723,10142111334,3798,Generation X
Armenia,2011,male,55-74 years,11,194982,5.64,Armenia2011,0.723,10142111334,3798,Boomers
Armenia,2011,male,25-34 years,8,209914,3.81,Armenia2011,0.723,10142111334,3798,Millenials
Armenia,2011,male,75+ years,2,55565,3.6,Armenia2011,0.723,10142111334,3798,Silent
Armenia,2011,male,15-24 years,7,245227,2.85,Armenia2011,0.723,10142111334,3798,Millenials
Armenia,2011,female,15-24 years,4,259823,1.54,Armenia2011,0.723,10142111334,3798,Millenials
Armenia,2011,female,55-74 years,3,256541,1.17,Armenia2011,0.723,10142111334,3798,Boomers
Armenia,2011,female,35-54 years,3,422179,0.71,Armenia2011,0.723,10142111334,3798,Generation X
Armenia,2011,female,25-34 years,0,244912,0,Armenia2011,0.723,10142111334,3798,Millenials
Armenia,2011,female,5-14 years,0,164004,0,Armenia2011,0.723,10142111334,3798,Generation Z
Armenia,2011,male,5-14 years,0,189377,0,Armenia2011,0.723,10142111334,3798,Generation Z
Armenia,2012,male,75+ years,5,56598,8.83,Armenia2012,0.728,10619320049,3773,Silent
Armenia,2012,male,35-54 years,26,376743,6.9,Armenia2012,0.728,10619320049,3773,Generation X
Armenia,2012,male,55-74 years,11,212482,5.18,Armenia2012,0.728,10619320049,3773,Boomers
Armenia,2012,male,25-34 years,11,245443,4.48,Armenia2012,0.728,10619320049,3773,Millenials
Armenia,2012,female,75+ years,3,91237,3.29,Armenia2012,0.728,10619320049,3773,Silent
Armenia,2012,male,15-24 years,5,255119,1.96,Armenia2012,0.728,10619320049,3773,Millenials
Armenia,2012,female,35-54 years,7,428953,1.63,Armenia2012,0.728,10619320049,3773,Generation X
Armenia,2012,female,25-34 years,4,259768,1.54,Armenia2012,0.728,10619320049,3773,Millenials
Armenia,2012,female,55-74 years,4,273394,1.46,Armenia2012,0.728,10619320049,3773,Boomers
Armenia,2012,female,15-24 years,2,255088,0.78,Armenia2012,0.728,10619320049,3773,Millenials
Armenia,2012,male,5-14 years,1,192409,0.52,Armenia2012,0.728,10619320049,3773,Generation Z
Armenia,2012,female,5-14 years,0,167066,0,Armenia2012,0.728,10619320049,3773,Generation Z
Armenia,2013,male,75+ years,7,58640,11.94,Armenia2013,0.731,11121465767,3957,Silent
Armenia,2013,female,75+ years,6,95093,6.31,Armenia2013,0.731,11121465767,3957,Silent
Armenia,2013,male,55-74 years,11,218063,5.04,Armenia2013,0.731,11121465767,3957,Boomers
Armenia,2013,female,55-74 years,11,280566,3.92,Armenia2013,0.731,11121465767,3957,Boomers
Armenia,2013,male,25-34 years,9,250487,3.59,Armenia2013,0.731,11121465767,3957,Millenials
Armenia,2013,male,35-54 years,13,370440,3.51,Armenia2013,0.731,11121465767,3957,Generation X
Armenia,2013,female,35-54 years,6,423841,1.42,Armenia2013,0.731,11121465767,3957,Generation X
Armenia,2013,male,15-24 years,2,243687,0.82,Armenia2013,0.731,11121465767,3957,Millenials
Armenia,2013,male,5-14 years,1,193754,0.52,Armenia2013,0.731,11121465767,3957,Generation Z
Armenia,2013,female,15-24 years,1,242386,0.41,Armenia2013,0.731,11121465767,3957,Millenials
Armenia,2013,female,25-34 years,0,265616,0,Armenia2013,0.731,11121465767,3957,Millenials
Armenia,2013,female,5-14 years,0,168091,0,Armenia2013,0.731,11121465767,3957,Generation Z
Armenia,2014,male,75+ years,9,60108,14.97,Armenia2014,0.733,11609512940,4142,Silent
Armenia,2014,female,75+ years,6,98118,6.12,Armenia2014,0.733,11609512940,4142,Silent
Armenia,2014,male,55-74 years,12,224430,5.35,Armenia2014,0.733,11609512940,4142,Boomers
Armenia,2014,male,35-54 years,13,363362,3.58,Armenia2014,0.733,11609512940,4142,Generation X
Armenia,2014,male,25-34 years,6,253461,2.37,Armenia2014,0.733,11609512940,4142,Millenials
Armenia,2014,female,55-74 years,4,288822,1.38,Armenia2014,0.733,11609512940,4142,Boomers
Armenia,2014,male,15-24 years,3,230760,1.3,Armenia2014,0.733,11609512940,4142,Millenials
Armenia,2014,female,15-24 years,2,227895,0.88,Armenia2014,0.733,11609512940,4142,Millenials
Armenia,2014,female,5-14 years,1,171332,0.58,Armenia2014,0.733,11609512940,4142,Generation Z
Armenia,2014,female,35-54 years,2,417829,0.48,Armenia2014,0.733,11609512940,4142,Generation X
Armenia,2014,female,25-34 years,0,269937,0,Armenia2014,0.733,11609512940,4142,Millenials
Armenia,2014,male,5-14 years,0,196975,0,Armenia2014,0.733,11609512940,4142,Generation Z
Armenia,2015,male,75+ years,12,61355,19.56,Armenia2015,,10553337673,3775,Silent
Armenia,2015,male,55-74 years,16,231213,6.92,Armenia2015,,10553337673,3775,Boomers
Armenia,2015,female,75+ years,5,100754,4.96,Armenia2015,,10553337673,3775,Silent
Armenia,2015,male,35-54 years,15,356715,4.21,Armenia2015,,10553337673,3775,Generation X
Armenia,2015,male,25-34 years,10,255540,3.91,Armenia2015,,10553337673,3775,Millenials
Armenia,2015,female,55-74 years,5,297936,1.68,Armenia2015,,10553337673,3775,Boomers
Armenia,2015,female,15-24 years,3,212010,1.42,Armenia2015,,10553337673,3775,Millenials
Armenia,2015,female,35-54 years,4,412360,0.97,Armenia2015,,10553337673,3775,Generation X
Armenia,2015,male,15-24 years,2,216876,0.92,Armenia2015,,10553337673,3775,Millenials
Armenia,2015,female,25-34 years,2,274108,0.73,Armenia2015,,10553337673,3775,Millenials
Armenia,2015,female,5-14 years,0,175417,0,Armenia2015,,10553337673,3775,Generation Z
Armenia,2015,male,5-14 years,0,201051,0,Armenia2015,,10553337673,3775,Generation Z
Armenia,2016,male,75+ years,12,61956,19.37,Armenia2016,,10546135160,3788,Silent
Armenia,2016,male,55-74 years,16,237813,6.73,Armenia2016,,10546135160,3788,Boomers
Armenia,2016,male,35-54 years,16,350633,4.56,Armenia2016,,10546135160,3788,Generation X
Armenia,2016,male,15-24 years,5,202220,2.47,Armenia2016,,10546135160,3788,Millenials
Armenia,2016,female,75+ years,2,102414,1.95,Armenia2016,,10546135160,3788,Silent
Armenia,2016,female,55-74 years,6,308349,1.95,Armenia2016,,10546135160,3788,Boomers
Armenia,2016,male,25-34 years,4,255665,1.56,Armenia2016,,10546135160,3788,Millenials
Armenia,2016,female,35-54 years,3,408109,0.74,Armenia2016,,10546135160,3788,Generation X
Armenia,2016,female,25-34 years,2,277452,0.72,Armenia2016,,10546135160,3788,Millenials
Armenia,2016,female,15-24 years,1,195422,0.51,Armenia2016,,10546135160,3788,Millenials
Aruba,2011,male,55-74 years,3,8940,33.56,Aruba2011,,2584463687,27066,Boomers
Aruba,2011,male,35-54 years,3,15388,19.5,Aruba2011,,2584463687,27066,Generation X
Aruba,2011,female,25-34 years,1,6264,15.96,Aruba2011,,2584463687,27066,Millenials
Aruba,2011,male,15-24 years,1,6706,14.91,Aruba2011,,2584463687,27066,Millenials
Aruba,2011,female,55-74 years,1,10536,9.49,Aruba2011,,2584463687,27066,Boomers
Aruba,2011,female,15-24 years,0,6272,0,Aruba2011,,2584463687,27066,Millenials
Aruba,2011,female,35-54 years,0,17691,0,Aruba2011,,2584463687,27066,Generation X
Aruba,2011,female,5-14 years,0,7064,0,Aruba2011,,2584463687,27066,Generation Z
Aruba,2011,female,75+ years,0,2358,0,Aruba2011,,2584463687,27066,Silent
Aruba,2011,male,25-34 years,0,5440,0,Aruba2011,,2584463687,27066,Millenials
Aruba,2011,male,5-14 years,0,7324,0,Aruba2011,,2584463687,27066,Generation Z
Aruba,2011,male,75+ years,0,1505,0,Aruba2011,,2584463687,27066,Silent
Australia,2011,male,75+ years,146,588053,24.83,Australia2011,0.93,1394280784778,66770,Silent
Australia,2011,male,35-54 years,704,3072726,22.91,Australia2011,0.93,1394280784778,66770,Generation X
Australia,2011,male,25-34 years,347,1610295,21.55,Australia2011,0.93,1394280784778,66770,Millenials
Australia,2011,male,55-74 years,366,2104816,17.39,Australia2011,0.93,1394280784778,66770,Boomers
Australia,2011,male,15-24 years,242,1570069,15.41,Australia2011,0.93,1394280784778,66770,Millenials
Australia,2011,female,35-54 years,230,3124328,7.36,Australia2011,0.93,1394280784778,66770,Generation X
Australia,2011,female,15-24 years,93,1495053,6.22,Australia2011,0.93,1394280784778,66770,Millenials
Australia,2011,female,55-74 years,118,2139108,5.52,Australia2011,0.93,1394280784778,66770,Boomers
Australia,2011,female,75+ years,45,817927,5.5,Australia2011,0.93,1394280784778,66770,Silent
Australia,2011,female,25-34 years,85,1584036,5.37,Australia2011,0.93,1394280784778,66770,Millenials
Australia,2011,female,5-14 years,9,1351751,0.67,Australia2011,0.93,1394280784778,66770,Generation Z
Australia,2011,male,5-14 years,7,1423748,0.49,Australia2011,0.93,1394280784778,66770,Generation Z
Australia,2012,male,75+ years,158,606842,26.04,Australia2012,0.932,1543411012580,72669,Silent
Australia,2012,male,35-54 years,802,3098534,25.88,Australia2012,0.932,1543411012580,72669,Generation X
Australia,2012,male,25-34 years,351,1657638,21.17,Australia2012,0.932,1543411012580,72669,Millenials
Australia,2012,male,55-74 years,396,2162980,18.31,Australia2012,0.932,1543411012580,72669,Boomers
Australia,2012,male,15-24 years,217,1579672,13.74,Australia2012,0.932,1543411012580,72669,Millenials
Australia,2012,female,35-54 years,258,3149749,8.19,Australia2012,0.932,1543411012580,72669,Generation X
Australia,2012,female,15-24 years,109,1503934,7.25,Australia2012,0.932,1543411012580,72669,Millenials
Australia,2012,female,75+ years,52,832122,6.25,Australia2012,0.932,1543411012580,72669,Silent
Australia,2012,female,25-34 years,98,1630077,6.01,Australia2012,0.932,1543411012580,72669,Millenials
Australia,2012,female,55-74 years,123,2206179,5.58,Australia2012,0.932,1543411012580,72669,Boomers
Australia,2012,female,5-14 years,10,1368580,0.73,Australia2012,0.932,1543411012580,72669,Generation Z
Australia,2012,male,5-14 years,6,1442602,0.42,Australia2012,0.932,1543411012580,72669,Generation Z
Australia,2013,male,75+ years,160,627275,25.51,Australia2013,0.933,1573696522007,72856,Silent
Australia,2013,male,35-54 years,754,3118829,24.18,Australia2013,0.933,1573696522007,72856,Generation X
Australia,2013,male,25-34 years,329,1702401,19.33,Australia2013,0.933,1573696522007,72856,Millenials
Australia,2013,male,55-74 years,418,2221866,18.81,Australia2013,0.933,1573696522007,72856,Boomers
Australia,2013,male,15-24 years,267,1591539,16.78,Australia2013,0.933,1573696522007,72856,Millenials
Australia,2013,female,35-54 years,275,3171477,8.67,Australia2013,0.933,1573696522007,72856,Generation X
Australia,2013,female,55-74 years,145,2276104,6.37,Australia2013,0.933,1573696522007,72856,Boomers
Australia,2013,female,15-24 years,95,1512779,6.28,Australia2013,0.933,1573696522007,72856,Millenials
Australia,2013,female,25-34 years,95,1676648,5.67,Australia2013,0.933,1573696522007,72856,Millenials
Australia,2013,female,75+ years,48,847577,5.66,Australia2013,0.933,1573696522007,72856,Silent
Australia,2013,male,5-14 years,16,1464302,1.09,Australia2013,0.933,1573696522007,72856,Generation Z
Australia,2013,female,5-14 years,6,1389383,0.43,Australia2013,0.933,1573696522007,72856,Generation Z
Australia,2014,male,35-54 years,866,3130341,27.66,Australia2014,0.935,1464955475994,66809,Generation X
Australia,2014,male,75+ years,164,649925,25.23,Australia2014,0.935,1464955475994,66809,Silent
Australia,2014,male,25-34 years,404,1730968,23.34,Australia2014,0.935,1464955475994,66809,Millenials
Australia,2014,male,55-74 years,471,2279114,20.67,Australia2014,0.935,1464955475994,66809,Boomers
Australia,2014,male,15-24 years,271,1604935,16.89,Australia2014,0.935,1464955475994,66809,Millenials
Australia,2014,female,35-54 years,277,3189475,8.68,Australia2014,0.935,1464955475994,66809,Generation X
Australia,2014,female,25-34 years,119,1716803,6.93,Australia2014,0.935,1464955475994,66809,Millenials
Australia,2014,female,55-74 years,157,2344644,6.7,Australia2014,0.935,1464955475994,66809,Boomers
Australia,2014,female,15-24 years,96,1520955,6.31,Australia2014,0.935,1464955475994,66809,Millenials
Australia,2014,female,75+ years,45,865915,5.2,Australia2014,0.935,1464955475994,66809,Silent
Australia,2014,female,5-14 years,15,1408758,1.06,Australia2014,0.935,1464955475994,66809,Generation Z
Australia,2014,male,5-14 years,6,1485754,0.4,Australia2014,0.935,1464955475994,66809,Generation Z
Australia,2015,male,35-54 years,944,3149299,29.97,Australia2015,,1349034029453,60656,Generation X
Australia,2015,male,75+ years,181,673787,26.86,Australia2015,,1349034029453,60656,Silent
Australia,2015,male,25-34 years,423,1762265,24,Australia2015,,1349034029453,60656,Millenials
Australia,2015,male,55-74 years,457,2337430,19.55,Australia2015,,1349034029453,60656,Boomers
Australia,2015,male,15-24 years,281,1608990,17.46,Australia2015,,1349034029453,60656,Millenials
Australia,2015,female,35-54 years,294,3203643,9.18,Australia2015,,1349034029453,60656,Generation X
Australia,2015,female,15-24 years,110,1526305,7.21,Australia2015,,1349034029453,60656,Millenials
Australia,2015,female,25-34 years,119,1747715,6.81,Australia2015,,1349034029453,60656,Millenials
Australia,2015,female,55-74 years,152,2411343,6.3,Australia2015,,1349034029453,60656,Boomers
Australia,2015,female,75+ years,52,884347,5.88,Australia2015,,1349034029453,60656,Silent
Australia,2015,female,5-14 years,8,1428159,0.56,Australia2015,,1349034029453,60656,Generation Z
Australia,2015,male,5-14 years,6,1507502,0.4,Australia2015,,1349034029453,60656,Generation Z
Austria,2011,male,75+ years,196,245207,79.93,Austria2011,0.881,431120310089,53923,Silent
Austria,2011,male,55-74 years,276,855700,32.25,Austria2011,0.881,431120310089,53923,Boomers
Austria,2011,male,35-54 years,336,1292255,26,Austria2011,0.881,431120310089,53923,Generation X
Austria,2011,male,25-34 years,97,546027,17.76,Austria2011,0.881,431120310089,53923,Millenials
Austria,2011,female,75+ years,58,431128,13.45,Austria2011,0.881,431120310089,53923,Silent
Austria,2011,male,15-24 years,67,518095,12.93,Austria2011,0.881,431120310089,53923,Millenials
Austria,2011,female,55-74 years,113,942311,11.99,Austria2011,0.881,431120310089,53923,Boomers
Austria,2011,female,35-54 years,95,1288452,7.37,Austria2011,0.881,431120310089,53923,Generation X
Austria,2011,female,15-24 years,23,498172,4.62,Austria2011,0.881,431120310089,53923,Millenials
Austria,2011,female,25-34 years,23,542031,4.24,Austria2011,0.881,431120310089,53923,Millenials
Austria,2011,male,5-14 years,3,428198,0.7,Austria2011,0.881,431120310089,53923,Generation Z
Austria,2011,female,5-14 years,1,407570,0.25,Austria2011,0.881,431120310089,53923,Generation Z
Austria,2012,male,75+ years,189,250032,75.59,Austria2012,0.884,409425234155,50979,Silent
Austria,2012,male,55-74 years,298,874391,34.08,Austria2012,0.884,409425234155,50979,Boomers
Austria,2012,male,35-54 years,332,1286522,25.81,Austria2012,0.884,409425234155,50979,Generation X
Austria,2012,male,25-34 years,99,553047,17.9,Austria2012,0.884,409425234155,50979,Millenials
Austria,2012,female,75+ years,76,430436,17.66,Austria2012,0.884,409425234155,50979,Silent
Austria,2012,male,15-24 years,66,519503,12.7,Austria2012,0.884,409425234155,50979,Millenials
Austria,2012,female,55-74 years,99,962372,10.29,Austria2012,0.884,409425234155,50979,Boomers
Austria,2012,female,35-54 years,87,1283769,6.78,Austria2012,0.884,409425234155,50979,Generation X
Austria,2012,female,25-34 years,20,547787,3.65,Austria2012,0.884,409425234155,50979,Millenials
Austria,2012,female,15-24 years,6,497838,1.21,Austria2012,0.884,409425234155,50979,Millenials
Austria,2012,male,5-14 years,3,422849,0.71,Austria2012,0.884,409425234155,50979,Generation Z
Austria,2012,female,5-14 years,1,402730,0.25,Austria2012,0.884,409425234155,50979,Generation Z
Austria,2013,male,75+ years,221,255540,86.48,Austria2013,0.884,430068712972,53229,Silent
Austria,2013,male,55-74 years,299,893602,33.46,Austria2013,0.884,430068712972,53229,Boomers
Austria,2013,male,35-54 years,317,1282009,24.73,Austria2013,0.884,430068712972,53229,Generation X
Austria,2013,female,75+ years,64,431074,14.85,Austria2013,0.884,430068712972,53229,Silent
Austria,2013,male,25-34 years,75,563630,13.31,Austria2013,0.884,430068712972,53229,Millenials
